Compound,xBi(Me1Me2)O3,xPT,Tolerance_Factor,Ionic_Displacements,Ferroelectric_Tc_in_Kelvin
BiFeO3-PT,0.2,0.8,1.0152,,816
BiFeO3-PT,0.3,0.7,1.0095,,840
BiFeO3-PT,0.4,0.6,1.0036,,864
BiFeO3-PT,0.5,0.5,0.9975,,915
BiFeO3-PT,0.6,0.4,0.9916,0.1114,956
BiFeO3-PT,0.7,0.31,0.9858,,1015
BiFeO3-PT,0.8,0.2,0.9798,0.1232,1065
BiFeO3-PT,0.9,0.1,0.9737,0.1293,1101
BiZnTiO3-PT,0.0,1.0,1.0272,0.0758,768
BiZnTiO3-PT,0.1,0.9,1.0201,0.0841,803
BiZnTiO3-PT,0.2,0.8,1.0127,,840
BiZnTiO3-PT,0.25,0.75,1.0091,0.0969,864
BiZnTiO3-PT,0.3,0.7,1.0056,0.1009,922
BiZnTiO3-PT,0.4,0.6,0.9983,0.1094,990
Bi(MgW)O3-PT,0.05,0.95,1.0233,0.0756,755
Bi(MgW)O3-PT,0.1,0.9,1.0189,,736
Bi(MgW)O3-PT,0.13,0.87,1.0165,,725
Bi(MgW)O3-PT,0.15,0.85,1.0151,,707
Bi(MgW)O3-PT,0.17,0.83,1.0132,,705
Bi(MgW)O3-PT,0.2,0.8,1.0108,0.0748,682
Bi(MgW)O3-PT,0.25,0.75,1.0068,,643
Bi(MgW)O3-PT,0.5,0.5,0.9867,,493
Bi(MgW)O3-PT,0.52,0.48,0.9851,0.0732,493
Bi(MgW)O3-PT,0.54,0.46,0.9836,,470
Bi(MgW)O3-PT,0.56,0.44,0.982,,447
Bi(MgW)O3-PT,0.58,0.42,0.9803,0.0729,447
Bi(MgW)O3-PT,0.6,0.4,0.9787,0.0728,430
Bi(MgNb)O3-PT,0.0,1.0,1.027,,768
Bi(MgNb)O3-PT,0.05,0.95,1.0232,,768
Bi(MgNb)O3-PT,0.1,0.9,1.0189,,757
Bi(MgNb)O3-PT,0.15,0.85,1.0148,0.0779,742
Bi(MgNb)O3-PT,0.2,0.8,1.011,0.0786,723
Bi(MgNb)O3-PT,0.25,0.75,1.0067,,696
BiInO3-PT,0.15,0.85,1.0075,0.075,821
BiInO3-PT,0.2,0.8,1.0013,,834
BiInO3-PT,0.3,0.7,0.9884,,837
BiInO3-PT,0.34,0.66,0.983,,820
BiScO3-PT,0.15,0.85,1.0115,,800
BiScO3-PT,0.25,0.75,1.0008,0.0786,769
BiScO3-PT,0.3,0.7,0.9954,0.0791,753
BiScO3-PT,0.36,0.64,0.9893,,722
BiScO3-PT,0.4,0.6,0.9852,,694
Bi(ZnNb)O3-PT,0.1,0.9,1.0184,0.085,795
Bi(ZnNb)O3-PT,0.15,0.85,1.0141,0.0896,809
Bi(ZnNb)O3-PT,0.2,0.8,1.0096,,817
Bi(ZnNb)O3-PT,0.25,0.75,1.0051,0.099,809
Bi(ZnNb)O3-PT,0.3,0.7,1.0009,,775
Bi(MgTi)O3-PT,0.05,0.95,1.0239,0.0771,779
Bi(MgTi)O3-PT,0.1,0.9,1.0205,,788
Bi(MgTi)O3-PT,0.15,0.85,1.017,,793
Bi(MgTi)O3-PT,0.36,0.64,1.0028,0.0849,796
Bi(MgTi)O3-PT,0.5,0.5,0.9934,0.0884,796
Bi(MgTi)O3-PT,0.55,0.45,0.9899,0.0897,776
Bi(MgTi)O3-PT,0.58,0.42,0.9877,0.0905,751
Bi(MgTi)O3-PT,0.6,0.4,0.9863,0.091,741
Bi(MgTi)O3-PT,0.05,0.95,1.0243,0.077,772
Bi(MgTi)O3-PT,0.1,0.9,1.021,,773
Bi(MgTi)O3-PT,0.15,0.85,1.0181,,772
Bi(MgTi)O3-PT,0.2,0.8,1.0149,,763
Bi(MgTi)O3-PT,0.3,0.7,1.009,0.083,738
Bi(MgTi)O3-PT,0.4,0.6,1.003,,746
Bi(MgTi)O3-PT,0.5,0.5,0.9969,0.0877,700
Bi(MgTi)O3-PT,0.6,0.4,0.9907,,680
BiLuO3-PT,0.1,0.9,1.0118,,837
BiGaO3-PT,0.15,0.85,1.0201,0.0759,757
BiGaO3-PT,0.2,0.8,1.0177,,768
Bi(GaSc)O3-PT,0.39,0.61,0.9914,,750
Bi(GaSc)O3-PT,0.37,0.63,0.9936,0.0789,743
Bi(GaSc)O3-PT,0.34,0.66,0.9958,0.0787,759
Bi(GaSc)O3-PT,0.32,0.68,0.998,,762
Bi(GaSc)O3-PT,0.3,0.7,1.0,0.0783,767
Bi(GaSc)O3-PT,0.18,0.82,1.0109,0.0773,795
Bi(NiNb)O3-PT,0.33,0.68,1.0034,,573
Bi(NiNb)O3-PT,0.3,0.7,1.0053,0.0795,610
Bi(NiNb)O3-PT,0.25,0.75,1.009,0.0789,663
Bi(NiNb)O3-PT,0.2,0.8,1.0126,0.0783,702
Bi(NiNb)O3-PT,0.15,0.85,1.0163,0.0777,723
Bi(NiNb)O3-PT,0.1,0.9,1.0199,,747
Bi(NiNb)O3-PT,0.05,0.95,1.0235,,768
Bi(NiNb)O3-PT,0.0,1.0,1.0271,0.0758,764
Bi(ScFe)O3-PT,0.55,0.45,0.9814,,703
Bi(ScFe)O3-PT,0.5,0.5,0.9856,,698
Bi(ScFe)O3-PT,0.47,0.53,0.9881,,701
Bi(ScFe)O3-PT,0.45,0.55,0.9897,0.0917,713
Bi(ZnW)O3-PT,0.05,0.95,1.0228,0.08,774
Bi(ZnW)O3-PT,0.1,0.9,1.0185,,773
Bi(ZnW)O3-PT,0.15,0.85,1.0141,0.0883,788
Bi(ZnW)O3-PT,0.2,0.8,1.0097,,803
Bi(MgW)O3-PT,0.45,0.55,0.9909,0.0736,516
Bi(MgW)O3-PT,0.4,0.6,0.9949,0.0738,518
Bi(MgW)O3-PT,0.35,0.65,0.999,,519
Bi(MgW)O3-PT,0.3,0.7,1.0029,,563
Bi(MgW)O3-PT,0.25,0.75,1.007,,635
Bi(MgW)O3-PT,0.2,0.8,1.0109,0.0748,670
Bi(MgW)O3-PT,0.17,0.83,1.0132,0.075,689
Bi(MgW)O3-PT,0.15,0.85,1.0149,0.0751,704
Bi(MgW)O3-PT,0.13,0.87,1.0168,,720
Bi(MgW)O3-PT,0.1,0.9,1.0192,0.0753,743
Bi(MgW)O3-PT,0.05,0.95,1.0232,0.0756,756
Bi(ScIn)O3-PT,0.55,0.45,0.9625,0.0774,652
Bi(ScIn)O3-PT,0.53,0.47,0.9648,0.0774,667
Bi(ScIn)O3-PT,0.5,0.5,0.9683,0.0773,687
BiMnO3-PT,0.05,0.95,1.0242,0.0773,764
BiMnO3-PT,0.1,0.9,1.0212,,747
BiMnO3-PT,0.15,0.85,1.0183,0.0802,744
BiMnO3-PT,0.2,0.8,1.0152,0.0817,725
BiMnO3-PT,0.25,0.75,1.0123,0.0831,684
BiAlO3-PT,0.05,0.95,1.027,0.0764,733
BiAlO3-PT,0.1,0.9,1.0269,0.0769,728
BiAlO3-PT,0.15,0.85,1.0267,,723
Bi(ZnZr)O3-PT,0.1,0.9,1.0173,0.0828,782
Bi(ZnZr)O3-PT,0.2,0.8,1.0074,0.0897,763
Bi(ZnZr)O3-PT,0.3,0.7,0.9975,,671
Bi(MgZr)O3-PT,0.2,0.8,1.0083,0.0779,735
Bi(MgZr)O3-PT,0.35,0.65,0.9942,,629
Bi(MgZr)O3-PT,0.4,0.6,0.9894,0.0799,582
Bi(ScIn)O3-PT,0.35,0.65,0.986,,743
Bi(ScIn)O3-PT,0.33,0.67,0.9857,,762
Bi(ScIn)O3-PT,0.31,0.69,0.9881,,784
Bi(ScIn)O3-PT,0.28,0.72,0.9917,,804
Bi(ScIn)O3-PT,0.35,0.65,0.9831,,749
Bi(ScIn)O3-PT,0.33,0.67,0.9854,0.077,759
Bi(ScIn)O3-PT,0.3,0.7,0.9889,,773
Bi(ScIn)O3-PT,0.37,0.63,0.9808,,741
Bi(ScIn)O3-PT,0.31,0.69,0.9887,,776
Bi(ScIn)O3-PT,0.27,0.73,0.9943,,778
Bi(ScIn)O3-PT,0.31,0.69,0.9899,,750
Bi(ScIn)O3-PT,0.35,0.65,0.9854,,728
Bi(ScIn)O3-PT,0.37,0.63,0.9831,,718
Bi(ScGa)O3-PT,0.25,0.75,1.0057,0.0771,798
Bi(ScFe)O3-PT,0.4,0.6,0.9842,0.0839,728
Bi(CoFe)O3-PT,0.2,0.8,1.0162,,898
